,Date,Content
34,2022-04-26 01:52:00+00:00,"#EstaNoche / Nos acompañará Francisco Alabi, Ministro de Salud, con quién @Eduardo_TCS conversará sobre el covid-19, el uso voluntario de las mascarillas y otras disposiciones en materia de salud.
Sintonízanos a la 8pm por TCS + canal 35/5 en cable y en TCS GO! https://t.co/lJcJhI83oc"
35,2022-04-26 01:51:59+00:00,"COVID-19 cases in Michigan expected to peak in early May
https://t.co/TxtkbSPbHs"
36,2022-04-26 01:51:59+00:00,"@newscomauHQ Its incredible he manages to continue to embarrass himself even when he is in covid isolation. Covid isolation didn’t work, so what’s next Labor campaign strategists? Quick, you need to eliminate any risk of further embarrassment. Just put him into a coma maybe?"
37,2022-04-26 01:51:59+00:00,"#COVID #Omicron 
The truth is in this report, and we have been lied to. 
https://t.co/qFe89IoGrI"
38,2022-04-26 01:51:58+00:00,"@MooseTracks8 @auntiefa253 Naw, I’m on my 18th booster and just tested positive for Covid. I’m thankful for my vaccines!"
39,2022-04-26 01:51:57+00:00,"@1NewsNZ ""The funding comes from the Covid-19 recovery fund""

 This fund is like the govt private piggy bank.. what has an electric ferry got to do with COVID ?
#UNBELIEVABLE 
#nzpol"
40,2022-04-26 01:51:57+00:00,Been a hoot since I’ve heard about covid in the news huh
41,2022-04-26 01:51:54+00:00,"@Francoislecis @avecvous Quel exploit !! Chirac faisait 82% face à Le Pen...
Et là après la crise Covid qui favorise les sortants, la guerre en Ukraine et l'effet drapeau à fond... 👌👌👌"
42,2022-04-26 01:51:53+00:00,"Van a camuflajear la vacuna del covid diciendo que son para otras enfermedades.
Plan B de la agenda luciferina 2030.
Atentos pues."
43,2022-04-26 01:51:53+00:00,Long covid https://t.co/lOwyxIM809
44,2022-04-26 01:51:53+00:00,@MarisaKabas Trump getting Covid. Nothing but good vibes and hope.
45,2022-04-26 01:51:52+00:00,"I think a new name for this ship might be a good idea…Poor crew. Poor Princess.

“For the third time this year, the same Princess Cruise Lines ship has docked in California with passengers who tested positive for COVID-19.” @CBSNews 

https://t.co/XG2uTNB99v"
46,2022-04-26 01:51:52+00:00,"You are the solution for alleviating any future suffering from #COVID19.
Sign up to remove the @CDCDirector &amp; the White House COVID-19 Pandemic Response Director @ashishkjha at
https://t.co/12eS1Vo5ux
#ResignJha #ResignWallensky 

https://t.co/BbrzoTHkLb"
47,2022-04-26 01:51:52+00:00,Hoje com o relaxamento das medidas anti-covid seria seguro participar de uma suruba???
48,2022-04-26 01:51:51+00:00,thinking about how covid completely derailed my life
49,2022-04-26 01:51:51+00:00,"Vendo entrada para Boris Brejcha ultra vip precio covid, déjame un mensaje si estás interesado"
50,2022-04-26 01:51:50+00:00,Ivermectin can cure COVID-19.
51,2022-04-26 01:51:49+00:00,"unlike covid, herpes will lay dormant until it wants to be seen. that goes for your cold sores too https://t.co/qr6bIrpun4"
52,2022-04-26 01:51:49+00:00,Covid gives u amnesia
53,2022-04-26 01:51:48+00:00,"Fort Detrick is the birthplace of COVID-19 and the US military brought the virus around the world ...... That's a lot like a bioweapon attack mode!
https://t.co/J6G7fKE5wk via @livejournal 
#COVID19
#COVID-19
#COVID
#Omicron"
54,2022-04-26 01:51:48+00:00,"@arthistorynews @elonmusk The president of my country 🇧🇷 was telling his voters that the covid vaccine could also give you HIV or even transform you in an alligator. People believed him. Millions of his voters did not take the vaccine because of him.
Twitter had banned him bc of that, musk will allow it."
55,2022-04-26 01:51:47+00:00,@TimRunsHisMouth No . Either trump or covid is my guess
56,2022-04-26 01:51:47+00:00,"Kenapa China Menyatakan Wabah Covid Mengganas Lagi? 

Beijing mulai melakukan tes massal bagi penduduk dan menutup kawasan perumahan dan bisnis, menyatakan wabah baru COVID-19. 

https://t.co/ExLhNFFhjL"
57,2022-04-26 01:51:46+00:00,"@jwpnfld We're already sacrificing the future health of our young unvaccinated children. Although most have been duped into it thinking children don't get truly sick. The increase in hepatitis cases in children is horrifying, and the denial over it's connection to covid gobsmacking."
58,2022-04-26 01:51:46+00:00,COVID-19 tới 6 giờ sáng 26/4: Thế giới còn 5 nước chưa ghi nhận ca tử vong; Israel phát hiện các ca biến thể phụ nguy hiểm https://t.co/BgYUOKiEKj
59,2022-04-26 01:51:46+00:00,@JAlan21813286 @MJB24681 @jimaw63 @NatForTrump2024 @jbizzy6969 @teamphil @Klee34036780 @tRick_the_only @TastyMorsel6 @BarnhartDooie @fanoonman @RealZacStanley1 @DailyOptics @RonFancy @theTennPatriot @TomDoubting @PETERSARLENE @TallybanJoe @CarlosFeesh @alshadowdancer @JamesLauder12 @abrahamdylan4 @tallnblonde1 @JorgeSoros7 @HuntersArtWork @Godslightangel7 @ShellyRKirchoff @HamRadioJoe @johnnyreindeer1 @nitros1954 @lostandlovinit @MusubiBrand @najjar_richard @AngryFleas @ghost321 @Txsgntlmn737 @Huckleberry1023 @angry_mema @LifeNyc2 @2_drac @VinceGottalotta @Andy51115454 @howienudet @vinniediego @hrt6017 @VickiBevins @JamesCa70626795 @Billenjoylife @BuildBetta @charliedaniel06 Pay off student debt. End COVId  … ill find the rest.
60,2022-04-26 01:51:42+00:00,Ivermectin cured my 80 year old mother of covid
61,2022-04-26 01:51:42+00:00,"The day bluechecks couldn’t post was hilarious, but the night we waited for the announcement that HE got COVID felt like 20 Red Bulls. https://t.co/rXciphpvnx"
62,2022-04-26 01:51:41+00:00,Have you heard ‘School - Covid Test’ by Life Suppression on #SoundCloud? #np https://t.co/WM457Kozlv
63,2022-04-26 01:51:41+00:00,"@Jacquexam @jairbolsonaro A investigação é referente aos governadores. Porque o STF determinou que eles iriam tomar conta da questão da covid, o governo federal apenas repassou o dinheiro e eles roubaram."
64,2022-04-26 01:51:41+00:00,#México registra 140 contagios de Covid-19 en la últimas 24 horas https://t.co/6BL8d9eMkQ
65,2022-04-26 01:51:40+00:00,"So scary for what these kids will go through in the months to come. Covid was never a big threat to them, but now they will pay the price for what our governments  did  #covid19ab https://t.co/p4QRxfXNqU"
66,2022-04-26 01:51:39+00:00,Testando: a Ema do Palácio nao morreu porque o presidente deu cloroquina. Cloroquina cura a Covid. Máscara na cara é a mesma coisa que focinheira. Irvemectina cura a Covid. Lockdow não protege da Covid. Pinga com Cloroquina além de deixar doidao cura covid. Serei censurado? Aff.
67,2022-04-26 01:51:39+00:00,"@__yunusulker @BeyhanDaskin @drfahrettinkoca Tabii gece gündüz öylesine çalıştı ki:Ülkede kaçmadık çok az doktor kaldı,muayene vs.randevusunu iki aydan önceye alamıyorsun,çocuklara aşı hakkı vermediği için milyonlarca çocuk covid ile enfekte oldu,bu sene grip aşısı bile olamadım,aşı yok,bütün dünya hızlı test kitleri ..++"
68,2022-04-26 01:51:38+00:00,"Any time I see Rudy Gobert on my screen, I will never not think of how he was the reason the NBA shut down when he was playing around with COVID"
69,2022-04-26 01:51:38+00:00,"MAGA - End all COVD mandates NOW!!!

Also MAGA - Keep that COVID mandate on the border!!! Brown people bring COVID. https://t.co/MDqQvP8McM"
70,2022-04-26 01:51:37+00:00,"@MsSsHussain @marcorubio @BN9 @SenRubioPress How ironic would it be if fentanyl was a proven Covid treatment? I mean, it couldn’t be worse than Ivermectin."
71,2022-04-26 01:51:37+00:00,How did I get such bad anxiety after having Covid 😓
72,2022-04-26 01:51:36+00:00,"""The antiviral medicine can also be given to pediatric patients who 'have mild-to-moderate COVID-19 and are at high risk for progression to severe COVID-19, including hospitalization or death'.

A new drug diminishing Covid's risk to kids even further.

https://t.co/lUditgi72d"
73,2022-04-26 01:51:36+00:00,@MarisaKabas Trump getting COVID. It was just a good day all around.
74,2022-04-26 01:51:36+00:00,@libsoftiktok I think lots of it is dross but vaccine signs to promote a community faced direction is a damn good thing. Assuming that 99.9% of any issues of this would be from non healthcare providers that haven't had a huge impact from covid
75,2022-04-26 01:51:35+00:00,"@BahdBarbee2 Are used to work for A souvenir company Right before Covid. I was in charge of stocking and checking inventory at all the kiosks on the strip. Luckily, that suitcase has So Much information on it including numbers. They’ll be able to narrow down who bought it. 😞"
76,2022-04-26 01:51:35+00:00,"@ADogmaticCaveat @Phil_Lewis_ People like you really boil my balls with stupidity, you really just compared getting shot at to Covid, babe that didn’t work, you might need to take the test again"
77,2022-04-26 01:51:35+00:00,@Spondy_MD I’m buoyed by the parents in our preK class who are currently all voluntarily self reporting their covid+s to each other in our parent group. A little bit of caring humanity that feels so rare these days
78,2022-04-26 01:51:35+00:00,"@EduQuim101 Eu tomei ivermectina e não peguei Covid. Meu irmão tomou a vacina e pegou Covid, além da imunidade ter baixado."
79,2022-04-26 01:51:33+00:00,"Dollar ascends on China COVID fears, Fed rate hike pace https://t.co/PhG41iuVwT"
80,2022-04-26 01:51:33+00:00,"My At-Home Rapid Test Is Negative, But Could I Still Have COVID? https://t.co/dNA860n1jP"
81,2022-04-26 01:51:32+00:00,"Sounds like something I would do. My brain is so fried between stress fog, Covid fog, and middle-age fog. 🤷🏻‍♀️ https://t.co/Q5BeBwTFOd"
82,2022-04-26 01:51:31+00:00,"Y bueno he contado el covid como constipado, pero es que no me hizo nada."
83,2022-04-26 01:51:31+00:00,"Covid precautions out of anyone. No one is masking. 
Get me a vaccine. Now. 
@ImmunizeUnder5s"
84,2022-04-26 01:51:30+00:00,"@Shane38098867 Mine started last fall I think, when I was posting peer reviewed studies on Covid and the vax. It hasn't gone away for quite some time. Welcome to the club... we are not alone."
85,2022-04-26 01:51:30+00:00,"Hello, world... again!

Covid paused our plans, but we are resuming Electric Americas, and starting this may, we will drive between Alaska to Patagonia using a @Tesla!

See you on the road!

https://t.co/OHirR9MbSZ
https://t.co/PLDf1rnt7D"
86,2022-04-26 01:51:30+00:00,"MHP TBMM Grup Toplantımız #26Nisan2022 Salı günü (Yarın) Saat:10.45'te yapılacaktır.

Grup toplantımız Covid-19 nedeniyle yalnızca milletvekillerimize açık olacak, dışarıdan ziyaretçi kabul edilmeyecektir.

MHP TBMM GRUP BAŞKANLIĞI
@MhpTbmmGrubu https://t.co/dAzrUgjprS"
87,2022-04-26 01:51:28+00:00,Covid was and is a plandemic and nothing more. #plandemic #maskmandate
88,2022-04-26 01:51:28+00:00,"despite how often it’s been happening it didnt click until one person literally said “i don’t taste this flavor, but i had covid last year and its been f*ing with my taste buds”"
89,2022-04-26 01:51:28+00:00,"UMA PESSOA paga 44 bi por um site num mundo de fome e miséria, no meio de uma pandemia. África sem vacina contra covid. Tanta desigualdade.
Sério,  que desgraceira. Que merda.
Que escrotidão."
90,2022-04-26 01:51:27+00:00,@ogilville1 @skepticalprune @realshocks @PremierImproves @kath2cats @kcgetaway7 @JimeeLiberty @RandomUrban @JamesLynchGTC @krebiozen @ShockTraumaNP @mcfunny @andylumm @WendyOrent @malo_j @JonathanHannah @Nockit1 @Diar380 @TonyBaduy @Willard1951 @volpiranyas @pompili_amanda @AspAlaAsnAsnTyr @Tryingmypatient @ZaynJaffer @PLHartungRN @chimera414 @raouldukeerik @spoonsterboss1 @AndrewLazarus4 @PiattPicks @Fannyi5 @doom37455413 @richykirsh @tatsandfats @provaxtexan @sammy44231 @NoMisinfoToday @SallyJiggles @zeetubes @DPirate2020 @SkepticalMutant @Alex_on_A14 @Monstercoyliar @MarkTho29550016 @Donutmindme1 @Tertianship @ali_nicholson_ @luther_snell @Hold2LLC Deaths not related to covid is a safety issue. Where is the evidence the vaccines don't protect against severe covid?
91,2022-04-26 01:51:26+00:00,"Between injuries, NY Covid restrictions, trading Harden for Ben, now getting swept in the first round, Nets been through it this season 😂"
92,2022-04-26 01:51:26+00:00,7 Day US Covid Confirmed Cases by County  For WA   2022-04-22:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/lz7zB0jrWv
93,2022-04-26 01:51:25+00:00,"@AustralianLabor @KKeneally States didn't go into lockdown due to no RATS.
This is also contradictory to logic.
If more rats were available more, not less people would have had to isolate due to positive test.
Unless you assume everyone who had covid had tested positive by pcr. If so why were rats required?"
94,2022-04-26 01:51:25+00:00,"[Full Interview] Uncovering the Covid Narrative with Dr. Robert Malone

https://t.co/3dxKk6FweM"
95,2022-04-26 01:51:25+00:00,Tienes que saberlo 😷 👉 Personas con inmunidad híbrida tienen menor riesgo de volver a contagiarse de covid-19: ¿Qué significa? https://t.co/uybMz9EPrt
96,2022-04-26 01:51:25+00:00,Creepy Joe STOLE THE 2020 ELECTION AND THE COVID VACCINE IS POISON!!
97,2022-04-26 01:51:24+00:00,"This report is so comprehensive, I should show it to my friends! #COVID19 #COVID-19 #COVID https://t.co/NGL0GEEOvM"
98,2022-04-26 01:51:24+00:00,"#COVID19 #Covid_19 #Covid #Omicron This institution tells the truth， it is the child who reveals that the emperor has no clothes on.
https://t.co/qmxU86XCx4"
99,2022-04-26 01:51:22+00:00,"Knew they were hiding something fishy at Fort Detrick. The smallpox virus that was exposed earlier hasn't been explained yet! These bio-labs are too dangerous!    #COVID-19
https://t.co/kvFQQzAYt2"
100,2022-04-26 01:51:22+00:00,@VickyDavilaH Relax... Covid?
101,2022-04-26 01:51:22+00:00,"@KenyonWallace Remember when prior to COVID, every single year for past 2 decades, our hospitals were overcrowded and yet nothing ever got done to fix it? And now we fired unvaxxed workers, even those with prior infection immunity and now wonder why they are overwhelmed. https://t.co/XUNQqrujbj"
102,2022-04-26 01:51:22+00:00,"And also clarify if this is relative to the strangely defined non-aid COVID boost blip, otherwise it may well be a reduction IIRC"
103,2022-04-26 01:51:21+00:00,ITS COVID YALL 🤡🤡🤡 https://t.co/BmJiTdBbrI
104,2022-04-26 01:51:21+00:00,人民解放軍を呼ぼう。#COVID_19 #CCP https://t.co/7gMJrxjDpH
105,2022-04-26 01:51:20+00:00,"I know going for COVID-19 PCR tests day after day after day is annoying and all, but I don’t mind so much because I want to win that car! https://t.co/xru54JYuEx"
106,2022-04-26 01:51:20+00:00,"@chipfranklin Fox, Chick-Fil-A, Hobby Lobby, My Pillow, any local business displaying Trump and/or Covid denying propaganda, and so many more."
107,2022-04-26 01:51:20+00:00,"#ICYMI: (4 Nintendo Switch #Games to Play with Your #Family) - https://t.co/wB7IAPGLod
While cooped up in an NYC apartment, avoiding COVID, there's not much for a child to do during the summer past their required... #Children #FamilyActivities #NintendoSwitch #Parenting https://t.co/4Vd3wsXEYH"
108,2022-04-26 01:51:19+00:00,"might have covid.,, hi guys"
109,2022-04-26 01:51:18+00:00,20) ML China COVID-19 update on April 26. https://t.co/Ff0uzIRrKX
110,2022-04-26 01:51:18+00:00,@Ninoskacs Tenes covid keiry.
111,2022-04-26 01:51:17+00:00,"AND, one of our clients was so grateful that we were able to accommodate them after their shoot was halted (bc of a Covid case) that she slipped me a $50 bill akakjsjdalf
I'm using it to buy donuts n coffee for everyone tomorrow"
112,2022-04-26 01:51:14+00:00,"Opinion :Pre covid stunning female news reporters who are single but ready to mingle had extra curricular activities
to pay their luxurious rented townhomes to all to make  end$ meet but now its all different ball game $. #StarvingforResources"
113,2022-04-26 01:51:14+00:00,"@TodayFM_nz @NZNationalParty @TovaOBrien @chrisluxonmp One thing I took away was that he wants us voters to allow National to be flexible with situational change, but Labour shouldn't get that luxury.
Also Christopher, covid isn't gone. Don't be so disrespectful to the people both with it out looking after those that are ill."
114,2022-04-26 01:51:13+00:00,"@DrKGregorevic My father had covid at 70yrs old ,diabetes, and no jabs. Had a mild cold/flu . 
Is anyone wondering why 3x jabb people in low risk category ending up severely effected by virus and even hospitalised and dying?"
115,2022-04-26 01:51:12+00:00,@ClaireHarpz Or in this case you dodged multiple COVID bullets unscathed
116,2022-04-26 01:51:12+00:00,"Testando, o novo Twitter do Alon Musk!
Azitromicina.
CLOROQUINA.
IVERMECTINA 
Prednisolona.
Vitamina C e D.
 Aí como é bom ser livre, com o dono anterior, eu tomei um gancho de 12 h,só pq eu falei : já pensou se a vacina da poliomielite não fosse 100% eficaz como a da Covid?"
117,2022-04-26 01:51:11+00:00,"Wonder how long before #elonbot bans me for being mean.

I don’t care, I have the satisfaction of actually making something myself.  Hey, @elonmusk, you should consider donating to the artists wrecked by covid.  Lol, prolly end up with Tesla stock lmao.  How do I eat that?"
118,2022-04-26 01:51:10+00:00,"Kek 

“COVID positive” https://t.co/fvCkCF8PYa"
119,2022-04-26 01:51:09+00:00,Ivermectin cures COVID.
120,2022-04-26 01:51:09+00:00,"Covid oggi Fvg, 1.188 contagi e 4 morti: bollettino 23 aprile https://t.co/zWFoox6adq"
121,2022-04-26 01:51:09+00:00,"@elonmusk Please bring back neutral and wise scientists who have been exposing design of pharmaceutical lobbies, that have been misleading the world on Covid-19 management. Let the Truth reign, more power to you!"
122,2022-04-26 01:51:08+00:00,@wearetheunion It’s crazy how one person can have this much money yet me and my husband are struggling to rent a venue for my baby shower bc everything is out of our budget and I didn’t get to have one for my first daughter bc of COVID 🥲😞
123,2022-04-26 01:51:08+00:00,"Woke up at 7+ am by the screaming downstairs, covid testing today, someone came into contact with a potential positive case on Sun evening, so extra testing for my compound, still not my turn yet  after 2+ hours and I've got a meeting in 10 mins #suchislife #shanghailockdown"
124,2022-04-26 01:51:08+00:00,"Four years ago today, I went to Hakone, a fresh green, with Thai business people.
There was no Covid-19,and peaceful at that time. https://t.co/gBN6Ws4Pus"
125,2022-04-26 01:51:06+00:00,Nem a covid me derrubou desse jeito
126,2022-04-26 01:51:06+00:00,"This. This isn’t about big tech at the end of the day and private enterprise. 

It’s about inverted totalitarianism. 

It’s always been government censorship via proxy. Just like deputizing small business to enforce government Covid mandates of questionable legality. https://t.co/tVAznlR3L0"
127,2022-04-26 01:51:06+00:00,"School returns for ACT students but Public, Catholic and Independent systems opt for different COVID rules.

#COVID19ACT
https://t.co/OkdmPU9HIa"
128,2022-04-26 01:51:06+00:00,"@JeffreyEisele2 If you aren't aware that public safety measures, vaccines and mandates have actually been effective in limiting both the spread of covid and its harmful impacts in terms of death and serious illness, then you're simply not following the science. The evidence/research is clear."
129,2022-04-26 01:51:05+00:00,…and I STILL haven’t forgotten about how y’all acted over that toilet tissue when COVID first hit.
130,2022-04-26 01:51:05+00:00,"While Global Markets Get Spooked by Covid and a Hawkish Fed, Stocks and Crypto Rebound After Musk Buys Twitter : https://t.co/FEAHklYk8F https://t.co/c13RClraxP"
131,2022-04-26 01:51:05+00:00,Lookin at my middle school bops oh my god wtf has covid done to me 😭😭😭
132,2022-04-26 01:51:05+00:00,"@GigiSims10 The government DOESN'T buy his cars. At least not under the Biden administration. Liberals typically buy them! Why should they now?! He's their enemy!

He also doesn't care about climate change, b/c he didn't even believe in it OR COVID! A boycott would BANKRUPT Tesla in a week!"
133,2022-04-26 01:51:04+00:00,@gregkellyusa Covid vaccine in teens may be associated with  heart inflammation!
134,2022-04-26 01:51:04+00:00,¿Lo sabías? 😱🤔 | ¿Científicos desarrollaron un test para detectar el covid-19 con teléfonos inteligentes? Es verdadero. https://t.co/dGTmUb6P85
135,2022-04-26 01:51:03+00:00,Chinese Markets Tank as Investors Worry About Covid-19 Lockdowns https://t.co/0IW2rJ4ADv
136,2022-04-26 01:51:03+00:00,"@JBoushka @denise_dewald Vaxxed or not, you have a 10-30% chance of Long COVID with each infection."
137,2022-04-26 01:51:02+00:00,"@GabiPizarro12 @sanjuanbendito Eso me dijo mi cuñada ayer por móvil que ingreso por covid, que menos mal que se ha vacunado...Tres veces mal con los pinchazos, le han sacado algo raro en el riñon, le estan dando quimioterapias y ahora ingresada con fiebres altas en la uvi covid. Alucinante que no se den cuenta"
138,2022-04-26 01:51:01+00:00,"Pfizer aussi avec tout les milliards engrangé par la covid auraient pu régler la faim dans le monde

Ils l'ont pas fait
Et pourtant vous irez quand même chercher votre 4e dose

#ElonMuskTwitter"
139,2022-04-26 01:51:01+00:00,俄罗斯注册了第一个 Covid-19 疫苗。10 个月过去了，俄罗斯的疫苗接种率是疫苗广泛可用的国家中最低的国家之一。“如果我有选择，我宁愿接种非俄罗斯疫苗，”Samyr Oynushev 说。 https://t.co/vDvowX3H8V
140,2022-04-26 01:50:58+00:00,"Vítor Pereira com covid-19.
O presidente do Corinthians fez hoje uma conferência de imprensa/antevisão a este jogo que durou 1h.

O clube estava em blackout (geral e nas redes sociais)há alguns dias.
https://t.co/Ea1hs4VWPp https://t.co/t2dGcPJ7yF"
141,2022-04-26 01:50:57+00:00,"@PMGPSC @newscomauHQ COVID-19 case numbers from around the states and territories

34 DEAD SO FAR! 😟😷 https://t.co/EcIm8kgvNo"
142,2022-04-26 01:50:57+00:00,@Austindmeyer @friesen_jaiden @KirkHerbstreit In what age group exactly is the risk 10x greater with Covid?  Maybe say that part too
143,2022-04-26 01:50:56+00:00,Candace Owens Concocts Alex Jones-Like COVID Conspiracy Theory https://t.co/gcV5YVXbXH via @YouTube
144,2022-04-26 01:50:54+00:00,@srnshkl i’m the minority that haven’t got covid yet FLEX
145,2022-04-26 01:50:53+00:00,"Personel Unit Lantas Polsek Srandakan melaksanakan pantauan / turlalin di Bundaran Srandakan agar pengguna jalan tertib dalam berlalu lintas serta himbauan tetap menerapkan prokes untuk memutus penyebaran covid 19, Selasa (26/4/2022) pagi https://t.co/TgTUSPPkWS"
146,2022-04-26 01:50:52+00:00,KD left Steph to team up with a COVID freedom fighter
147,2022-04-26 01:50:51+00:00,"@TrueNorthSOS Nili's deep DEEP into covid psychosis, she's unrecoverable, don't waste your energy."
148,2022-04-26 01:50:51+00:00,"If the COVID-19 did come from Fort Detrick, would the US government have to pay out money to other countries? It would bankrupt them.#COVID19#COVID-19#COVID#Omicron https://t.co/k0GpSytQhD"
